STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	7	-5	7	7	-5	7	-999	-999	1	2022
ALASKA	0	0	0	0	0	0	-999	-999	1	2022
ARIZONA	0	-3	0	0	-3	0	-999	-999	1	2022
ARKANSAS	0	-1	0	0	-1	0	-999	-999	1	2022
CALIFORNIA	0	-3	0	0	-3	0	-999	-999	1	2022
COLORADO	0	0	0	0	0	0	-999	-999	1	2022
CONNECTICUT	0	0	0	0	0	0	-999	-999	1	2022
DELAWARE	0	0	0	0	0	0	-999	-999	1	2022
DISTRCT COLUMBIA	0	0	0	0	0	0	-999	-999	1	2022
FLORIDA	69	-28	-2	69	-28	-2	-999	-999	1	2022
GEORGIA	7	-3	7	7	-3	7	-999	-999	1	2022
HAWAII	267	30	-86	267	30	-86	13	-24	1	2022
IDAHO	0	0	0	0	0	0	-999	-999	1	2022
ILLINOIS	0	0	0	0	0	0	-999	-999	1	2022
INDIANA	0	0	0	0	0	0	-999	-999	1	2022
IOWA	0	0	0	0	0	0	-999	-999	1	2022
KANSAS	0	0	0	0	0	0	-999	-999	1	2022
KENTUCKY	0	-1	0	0	-1	0	-999	-999	1	2022
LOUISIANA	16	-11	1	16	-11	1	-999	-999	1	2022
MAINE	0	0	0	0	0	0	-999	-999	1	2022
MARYLAND	0	0	0	0	0	0	-999	-999	1	2022
MASSACHUSETTS	0	0	0	0	0	0	-999	-999	1	2022
MICHIGAN	0	0	0	0	0	0	-999	-999	1	2022
MINNESOTA	0	0	0	0	0	0	-999	-999	1	2022
MISSISSIPPI	9	-3	9	9	-3	9	-999	-999	1	2022
MISSOURI	0	0	0	0	0	0	-999	-999	1	2022
MONTANA	0	0	0	0	0	0	-999	-999	1	2022
NEBRASKA	0	0	0	0	0	0	-999	-999	1	2022
NEVADA	0	-1	0	0	-1	0	-999	-999	1	2022
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	1	2022
NEW JERSEY	0	0	0	0	0	0	-999	-999	1	2022
NEW MEXICO	0	0	0	0	0	0	-999	-999	1	2022
NEW YORK	0	0	0	0	0	0	-999	-999	1	2022
NORTH CAROLINA	2	-1	2	2	-1	2	-999	-999	1	2022
NORTH DAKOTA	0	0	0	0	0	0	-999	-999	1	2022
OHIO	0	0	0	0	0	0	-999	-999	1	2022
OKLAHOMA	0	0	0	0	0	0	-999	-999	1	2022
OREGON	0	0	0	0	0	0	-999	-999	1	2022
PENNSYLVANIA	0	0	0	0	0	0	-999	-999	1	2022
RHODE ISLAND	0	0	0	0	0	0	-999	-999	1	2022
SOUTH CAROLINA	7	-2	7	7	-2	7	-999	-999	1	2022
SOUTH DAKOTA	0	0	0	0	0	0	-999	-999	1	2022
TENNESSEE	0	-2	0	0	-2	0	-999	-999	1	2022
TEXAS	7	-8	1	7	-8	1	-999	-999	1	2022
UTAH	0	0	0	0	0	0	-999	-999	1	2022
VERMONT	0	0	0	0	0	0	-999	-999	1	2022
VIRGINIA	0	0	0	0	0	0	-999	-999	1	2022
WASHINGTON	0	0	0	0	0	0	-999	-999	1	2022
WEST VIRGINIA	0	0	0	0	0	0	-999	-999	1	2022
WISCONSIN	0	0	0	0	0	0	-999	-999	1	2022
WYOMING	0	0	0	0	0	0	-999	-999	1	2022
